seed,n,k,hol_rate_kt,hol_rate_lz78,delta_hol
1,2048,3,0.0496282184067095,-0.0241874961821224,0.0738157145888319
1,8192,3,0.033986394765364,-0.0014134905184819,0.0353998852838459
2,2048,3,0.3303047263099969,0.0198691531749626,0.31043557313503434
2,8192,3,0.2649838027106539,0.0014513003814564,0.2635325023291975
3,2048,3,0.0105207365166755,0.0098197630311658,0.0007009734855097007
3,8192,3,0.0087621961109491,0.0057357897985128,0.0030264063124363005
