seed,n,k,order,sigma_true,hol_rate,abs_err,rel_err
1,2048,3,3,0.033465235305059446,-0.02418749618212246,0.057652731487181905,1.7227648621513105
1,8192,3,3,0.033465235305059446,-0.0014134905184819413,0.03487872582354139,1.042237578956101
2,2048,3,3,0.29404690825532076,0.019869153174962628,0.27417775508035813,0.9324286274837814
2,8192,3,3,0.29404690825532076,0.0014513003814564662,0.2925956078738643,0.9950643916303439
3,2048,3,3,0.0066908750544947635,0.009819763031165829,0.0031288879766710655,0.46763509274757065
3,8192,3,3,0.0066908750544947635,0.005735789798512858,0.0009550852559819054,0.1427444464592569
